Subject	Experiment	Condition_1possible_2impossible	Coplayer_cost	Efficiency	Reciprocity	Whether_Reject	Pain_reduction	Second_order_belief	Perceived_care	Obligation	Guilt	Gratitude
1103	1	1	9	1	10	0	7.2	7.5	9.74	1.45	0	15.1
1103	1	1	10	1	10	0	8	10	19.62	1.57	0	22.67
1103	1	1	11	1	11.1	1	8.8	10	11.32	17.3	0	14.86
1103	1	1	12	1	11.95	0	9.6	9.94	23.28	12.18	0	5.83
1103	1	1	14	1	10	1	11.2	12.5	15.1	25.48	0	15.1
1103	1	1	15	1	15	1	12	13.51	24.13	8.88	0	28.53
1103	1	1	16	1	10	1	12.8	12.53	19.01	4.12	0	18.52
1103	1	1	18	1	11.16	1	14.4	15.06	27.67	12.18	2.55	24.62
1103	1	1	20	1	10	1	16	10.06	45.61	9.63	8.88	48.05
1103	1	0	5	1	0	0	4	0	0	0	0	6.32
1103	1	0	7	1	7.01	0	5.6	0	14.86	0	0	17.79
1103	1	0	8	1	5.12	0	6.4	0	25.11	0.72	0	36.82
1103	1	0	9	1	0	0	7.2	0	19.86	0	0	19.01
1103	1	0	10	1	10.12	0	8	0	27.79	1.45	0	45.36
1103	1	0	11	1	11.04	1	8.8	0	40	4.87	0	60.49
1103	1	0	12	1	10	1	9.6	0	44.39	0	0	43.9
1103	1	0	14	1	13.96	0	11.2	0	65.13	0	2.92	50.24
1103	1	0	15	1	7.01	0	12	0	61.59	0	0	61.47
1103	1	0	16	1	20	1	12.8	0	51.95	0	0	54.64
1103	1	0	18	1	10	1	14.4	0	75.99	0	5.36	81.23
1103	1	0	20	1	17.99	0	16	0	90.37	0	17.18	84.41
1104	1	1	5	1	5.42	0	4	5.24	20.47	17.42	11.44	20.23
1104	1	1	7	1	2.07	0	5.6	4.66	36.09	33.53	38.29	25.11
1104	1	1	8	1	5	0	6.4	8.08	39.63	39.14	37.19	26.09
1104	1	1	9	1	8.05	0	7.2	4.78	42.19	24.74	26.82	33.16
1104	1	1	10	1	4.87	1	8	10.21	50.85	52.81	50.37	53.9
1104	1	1	11	1	11.1	1	8.8	11.25	50.24	60.37	47.44	40.73
1104	1	1	12	1	10.18	0	9.6	10.91	51.46	51.34	52.44	46.83
1104	1	1	14	1	13.66	1	11.2	14.82	45.73	54.03	55.12	51.71
1104	1	1	15	1	14.94	1	12	15.49	48.66	69.77	64.15	34.63
1104	1	1	16	1	16.28	1	12.8	17.32	52.2	65.01	55.73	51.71
1104	1	1	18	1	16.34	0	14.4	16.74	63.3	80.26	77.33	65.37
1104	1	1	20	1	20.13	1	16	20.31	90.5	52.18	54.38	97.1
1104	1	0	5	1	0	1	4	1.95	20.72	3.51	5.34	23.89
1104	1	0	7	1	5.18	1	5.6	4.51	51.83	4	6.08	57.08
1104	1	0	8	1	5.42	0	6.4	1.7	62.69	8.64	7.05	78.31
1104	1	0	9	1	5.06	1	7.2	2.46	42.8	1.93	6.32	77.82
1104	1	0	10	1	12.5	0	8	2.43	49.63	4.61	4.98	41.7
1104	1	0	11	1	8.41	1	8.8	7.71	66.59	4.49	5.95	80.5
1104	1	0	12	1	5	1	9.6	7.16	71.72	38.04	2.29	62.2
1104	1	0	14	1	2.86	0	11.2	2.31	69.16	37.31	4.86	65.86
1104	1	0	15	1	9.14	0	12	1.92	75.62	5.47	6.32	73.67
1104	1	0	16	1	8.47	1	12.8	3.14	67.08	6.69	6.81	78.55
1104	1	0	18	1	8.72	0	14.4	2.5	82.33	4.73	8.52	80.75
1104	1	0	20	1	10.43	0	16	2.77	94.64	4	4.25	100
1105	1	1	5	1	5.01	0	4	0	49.22	10.94	75.39	78.91
1105	1	1	7	1	7.03	0	5.6	7	59.51	47.14	61.98	91.41
1105	1	1	8	1	8.01	1	6.4	9.51	65.76	55.6	74.74	89.58
1105	1	1	9	1	8.98	1	7.2	9.99	63.02	50	67.58	88.54
1105	1	1	10	1	5.99	1	8	8.5	65.76	68.88	85.42	83.59
1105	1	1	11	1	11	0	8.8	12.01	70.05	45.05	72.4	70.05
1105	1	1	12	1	13.02	0	9.6	12.01	67.58	57.68	80.08	89.58
1105	1	1	14	1	14.97	0	11.2	14.49	66.93	54.95	82.42	95.31
1105	1	1	15	1	16.02	1	12	16.5	73.44	57.42	83.98	90.36
1105	1	1	16	1	16.02	1	12.8	16.96	64.97	64.71	87.5	79.69
1105	1	1	18	1	17.97	0	14.4	19.99	62.37	57.68	78.91	79.69
1105	1	1	20	1	15.04	1	16	21	62.63	68.1	86.98	91.15
1105	1	0	5	1	5.99	0	4	0	57.94	30.86	72.14	89.84
1105	1	0	7	1	8.01	1	5.6	2.99	57.94	41.15	77.47	94.79
1105	1	0	8	1	8.01	0	6.4	0	62.24	45.96	78.52	90.36
1105	1	0	9	1	8.98	0	7.2	5.5	68.88	47.4	87.89	93.75
1105	1	0	10	1	9.96	1	8	5.01	75.13	49.87	79.95	89.84
1105	1	0	11	1	11.98	0	8.8	7.06	68.75	48.57	87.5	90.1
1105	1	0	12	1	13.02	1	9.6	0	73.7	33.72	84.64	92.19
1105	1	0	14	1	14	0	11.2	2.99	72.4	41.93	92.58	94.53
1105	1	0	15	1	14	1	12	0	73.7	44.79	91.28	90.36
1105	1	0	16	1	16.99	1	12.8	4.98	67.71	33.2	95.57	98.18
1105	1	0	18	1	9.05	0	14.4	11.52	78.52	45.05	96.88	94.53
1105	1	0	20	1	15.95	0	16	9.99	82.42	57.29	100	99.22
1106	1	1	5	1	0	1	4	10	18.89	4.01	6.08	88.31
1106	1	1	7	1	7.01	1	5.6	10	15.59	1.33	17.8	75.87
1106	1	1	8	1	7.99	1	6.4	10	11.44	16.81	25.35	76.11
1106	1	1	9	1	9.02	0	7.2	12.5	38.53	15.12	31.58	60
1106	1	1	10	1	5.97	1	8	15	22.18	39.02	14.87	85.63
1106	1	1	11	1	10.91	1	8.8	13.99	31.82	18.16	24.5	68.06
1106	1	1	12	1	12.01	1	9.6	17.5	28.77	38.53	36.82	19.74
1106	1	1	14	1	14.03	1	11.2	20	33.53	28.16	30.72	50
1106	1	1	15	1	15	0	12	22.5	22.18	46.1	50.37	100
1106	1	1	16	1	16.1	1	12.8	20	26.45	22.3	7.55	83.67
1106	1	1	18	1	20	1	14.4	20.4	24.38	12.07	24.01	50
1106	1	1	20	1	0	1	16	25	0	50	0	100
1106	1	0	5	1	5.97	0	4	0	27.79	6.93	0	49.76
1106	1	0	7	1	10	0	5.6	0	67.81	0	13.76	91.73
1106	1	0	8	1	10	1	6.4	0	73.79	10.72	72.82	100
1106	1	0	9	1	13.05	0	7.2	0	74.52	9.37	67.08	81.97
1106	1	0	10	1	12.01	0	8	0	85.61	30.84	48.29	70.5
1106	1	0	11	1	12.99	1	8.8	13.99	85.02	9.25	83.78	100
1106	1	0	12	1	12.99	0	9.6	6.01	97.45	18.89	80.75	83.43
1106	1	0	14	1	14.03	1	11.2	17.5	87.58	59.03	69.16	89.78
1106	1	0	15	1	10	1	12	16.25	100	20.35	77.56	100
1106	1	0	16	1	17.01	1	12.8	0	93.55	19.99	96.6	100
1106	1	0	18	1	0	1	14.4	23.48	62.81	33.16	66.11	100
1106	1	0	20	1	10	1	16	25	100	15.1	100	97.1
1107	1	1	5	1	5	0	4	8.26	8.33	73.13	13.65	15.83
1107	1	1	7	1	8.02	0	5.6	11.09	24.9	56.88	26.15	49.58
1107	1	1	8	1	10	0	6.4	10.05	44.17	56.77	43.96	48.54
1107	1	1	9	1	10.78	1	7.2	13.39	13.33	53.85	28.75	35.83
1107	1	1	10	1	12.03	0	8	13.41	50.42	50	55.42	58.13
1107	1	1	11	1	11.98	0	8.8	14.95	55.73	55.52	55.52	58.75
1107	1	1	12	1	13.96	0	9.6	14.77	43.65	60.31	44.9	49.79
1107	1	1	14	1	16.09	0	11.2	14.61	53.85	61.77	40.83	60.21
1107	1	1	15	1	18.28	0	12	16.04	55.63	53.75	57.92	60.42
1107	1	1	16	1	17.92	0	12.8	18.72	47.6	51.15	23.33	49.79
1107	1	1	18	1	20	0	14.4	18.1	56.56	71.77	58.96	73.96
1107	1	1	20	1	25	0	16	22.53	86.25	64.69	62.92	100
1107	1	0	5	1	5.47	0	4	5.49	13.96	54.9	30.94	10.21
1107	1	0	7	1	8.33	0	5.6	10.68	28.85	62.29	39.27	23.75
1107	1	0	8	1	10.57	0	6.4	12.01	30.42	62.71	31.56	36.46
1107	1	0	9	1	12.03	0	7.2	11.09	50.1	54.27	52.08	59.17
1107	1	0	10	1	12.03	0	8	12.34	46.98	37.4	39.17	56.67
1107	1	0	11	1	13.07	0	8.8	12.27	61.56	59.27	58.02	70
1107	1	0	12	1	15	0	9.6	14.09	61.67	51.77	57.6	66.46
1107	1	0	14	1	17.03	0	11.2	13.78	64.58	55.83	56.25	55.21
1107	1	0	15	1	18.07	0	12	18.93	73.96	65	59.69	79.79
1107	1	0	16	1	19.01	0	12.8	15.05	71.56	56.15	61.77	76.88
1107	1	0	18	1	23.02	0	14.4	15.18	81.67	49.27	69.58	87.08
1107	1	0	20	1	25	0	16	25	89.38	68.96	68.65	99.58
1108	1	1	5	1	5	0	4	5	58.05	9.26	0	69.52
1108	1	1	7	1	7.01	1	5.6	7.01	50	5.11	0	69.52
1108	1	1	8	1	7.01	1	6.4	7.01	48.66	0	0	40.48
1108	1	1	9	1	8.96	1	7.2	8.96	75.26	0	0	75.38
1108	1	1	10	1	10	1	8	10	44.14	45.49	0.6	50.24
1108	1	1	11	1	10.97	1	8.8	11.01	35.11	39.02	0	40.24
1108	1	1	12	1	11.95	1	9.6	11.98	67.81	6.21	0	60.49
1108	1	1	14	1	13.96	0	11.2	12.01	37.68	64.52	0	54.88
1108	1	1	15	1	10	1	12	12.5	22.18	0	0	0
1108	1	1	16	1	15.98	1	12.8	16.04	42.07	40.13	0	30.72
1108	1	1	18	1	15	1	14.4	13.57	14.98	94.77	0	0
1108	1	1	20	1	12.01	1	16	14.48	0	100	0	0
1108	1	0	5	1	0	1	4	0	58.05	0	0	70.01
1108	1	0	7	1	0	1	5.6	0	76.6	0.35	0	75.87
1108	1	0	8	1	0	1	6.4	0	82.7	0	0	80.01
1108	1	0	9	1	5	1	7.2	0	82.21	0	0	83.19
1108	1	0	10	1	0	0	8	0	81.97	9.63	0	89.53
1108	1	0	11	1	8.96	1	8.8	4.48	90.63	0	0	89.04
1108	1	0	12	1	8.05	1	9.6	4.02	88.43	0	0	86.85
1108	1	0	14	1	0	1	11.2	0	90.51	0	0	91.24
1108	1	0	15	1	15	1	12	13.75	100	0	0	100
1108	1	0	16	1	0	1	12.8	5	94.77	0	0	100
1108	1	0	18	1	0	1	14.4	3.99	97.45	0	40.01	100
1108	1	0	20	1	0	1	16	6.28	100	0	0	100
1112	1	1	5	1	7.03	0	4	8.98	50	50	50	29.58
1112	1	1	7	1	12.45	0	5.6	11.25	41.98	43.33	40.1	35.21
1112	1	1	9	1	12.5	0	7.2	10	50	50	50	50
1112	1	1	10	1	12.5	0	8	12.73	50	50	50	50
1112	1	1	11	1	12.5	0	8.8	11.82	52.5	52.29	50	55
1112	1	1	12	1	12.5	0	9.6	12.5	50	50	50	49.58
1112	1	1	14	1	13.96	0	11.2	17.01	59.79	50	60.21	100
1112	1	1	15	1	20	0	12	17.5	50	50	44.9	49.79
1112	1	1	16	1	15.99	0	12.8	18.02	50	50	50	49.58
1112	1	1	18	1	19.01	0	14.4	20	50	52.5	50	50
1112	1	1	20	1	20	0	16	22.5	75	75	75	50
1112	1	0	5	1	10	0	4	2.5	50	50	50	50
1112	1	0	7	1	9.01	0	5.6	5	75	75	75	53.13
1112	1	0	8	1	12.5	0	6.4	6.25	39.9	25	50	39.79
1112	1	0	9	1	10	0	7.2	9.48	47.5	50	50	45
1112	1	0	10	1	12.5	0	8	10	75	50	50	100
1112	1	0	11	1	12.5	0	8.8	12.24	61.98	59.38	59.69	100
1112	1	0	12	1	12.5	0	9.6	5.99	64.9	59.79	54.79	58.75
1112	1	0	14	1	13.96	0	11.2	13.96	100	100	100	100
1112	1	0	15	1	12.5	0	12	7.5	100	75	75	100
1112	1	0	16	1	15.99	0	12.8	7.99	80.21	50	54.9	100
1112	1	0	18	1	20	0	14.4	18.98	75	49.9	60.83	100
1113	1	1	5	1	4.02	1	4	4.81	27.79	46.34	30.11	50.73
1113	1	1	7	1	7.19	0	5.6	7.86	43.9	34.63	54.64	53.66
1113	1	1	8	1	8.41	1	6.4	7.25	65.01	51.59	56.22	48.29
1113	1	1	9	1	9.14	0	7.2	9.79	65.13	54.88	57.69	50
1113	1	1	10	1	10	0	8	10.06	53.29	39.75	55.25	51.71
1113	1	1	11	1	11.4	0	8.8	11.71	55.12	52.32	55.49	49.76
1113	1	1	12	1	12.5	1	9.6	12.44	70.62	62.69	63.67	63.42
1113	1	1	14	1	14.76	0	11.2	15.06	70.38	61.71	59.03	69.03
1113	1	1	15	1	15.98	0	12	15.46	70.5	59.39	63.42	68.3
1113	1	1	16	1	16.16	0	12.8	16.43	73.91	50	55.98	70.25
1113	1	1	18	1	15	0	14.4	16.95	84.77	78.43	72.33	86.6
1113	1	1	20	1	20.98	0	16	20.31	84.16	65.86	73.43	91.48
1113	1	0	5	1	5.18	0	4	1.52	57.44	32.92	49.88	52.44
1113	1	0	7	1	7.31	0	5.6	6.25	63.18	45.61	59.64	63.42
1113	1	0	8	1	8.72	1	6.4	6.86	68.18	43.9	60.37	68.3
1113	1	0	9	1	9.57	1	7.2	9.14	64.15	44.02	57.08	61.22
1113	1	0	10	1	10.61	1	8	8.05	67.69	46.46	60.98	70.01
1113	1	0	11	1	11.04	0	8.8	6.52	73.79	51.83	64.89	67.81
1113	1	0	12	1	12.26	0	9.6	8.41	71.11	50	64.64	76.11
1113	1	0	14	1	14.39	0	11.2	10.85	72.94	53.17	60.61	66.35
1113	1	0	15	1	13.96	0	12	13.87	77.82	48.17	71.23	73.91
1113	1	0	16	1	17.01	1	12.8	11.31	74.4	49.88	63.42	71.47
1113	1	0	18	1	19.09	1	14.4	7.83	86.73	54.64	75.62	79.53
1113	1	0	20	1	21.65	0	16	7.99	94.17	46.83	81.11	91
1115	1	1	5	1	5	1	4	5	20.35	2.55	10.83	20.23
1115	1	1	7	1	9.02	0	5.6	3.5	23.52	12.66	0	25.6
1115	1	1	8	1	10	0	6.4	8.96	43.53	14.74	0	29.99
1115	1	1	9	1	8.05	1	7.2	10.76	24.62	10.47	0	20.23
1115	1	1	10	1	12.5	1	8	11.25	37.19	0	0	49.76
1115	1	1	11	1	10.97	1	8.8	11.04	28.28	16.33	0	59.76
1115	1	1	12	1	13.05	0	9.6	11.98	39.75	10.1	0	49.76
1115	1	1	15	1	15	1	12	15	55.12	14.01	0.23	74.89
1115	1	1	16	1	17.01	1	12.8	16.04	49.88	34.99	0	50.24
1115	1	1	18	1	17.99	1	14.4	19	61.71	65.01	0.35	79.53
1115	1	1	20	1	21.04	1	16	20	25	65.01	0	84.9
1115	1	0	5	1	5	1	4	5	20.11	0	5.11	19.99
1115	1	0	7	1	8.05	0	5.6	3.5	47.32	0.35	30.23	50
1115	1	0	8	1	10	0	6.4	0	46.22	0.11	29.87	39.75
1115	1	0	9	1	12.5	0	7.2	0	50.12	0	50.73	63.91
1115	1	0	10	1	12.5	1	8	6.25	62.93	0	50.24	60.74
1115	1	0	11	1	12.99	0	8.8	3.02	50	0.11	49.76	57.08
1115	1	0	12	1	11.95	0	9.6	0.06	55	0	55	59.76
1115	1	0	14	1	15.98	1	11.2	0	74.65	0	50.12	75.62
1115	1	0	15	1	15.98	0	12	0	83.67	0	37.69	89.53
1115	1	0	16	1	10	0	12.8	0.03	80.01	0	39.89	79.77
1115	1	0	18	1	20	0	14.4	0	80.26	5.1	25.48	79.28
1115	1	0	20	1	21.96	0	16	7.01	100	0	50.12	100
1116	1	1	5	1	5	1	4	5.55	40.61	1.57	57.93	100
1116	1	1	7	1	7.99	1	5.6	7.53	55.61	3.03	66.72	100
1116	1	1	8	1	7.99	1	6.4	5.06	43.41	5.71	59.27	100
1116	1	1	9	1	8.96	1	7.2	6.52	44.14	12.91	49.63	100
1116	1	1	10	1	5	1	8	7.99	46.58	11.93	60.37	100
1116	1	1	11	1	11.04	0	8.8	0	57.93	5.47	70.5	100
1116	1	1	12	1	12.01	1	9.6	5.98	61.35	10.1	73.91	64.4
1116	1	1	14	1	7.8	1	11.2	15.15	58.42	6.33	70.25	100
1116	1	1	15	1	15	1	12	17.56	78.06	12.66	81.6	100
1116	1	1	16	1	12.07	1	12.8	14.6	73.06	22.43	79.89	100
1116	1	1	18	1	17.99	1	14.4	19.06	85.87	28.77	86.12	92.95
1116	1	0	5	1	6.03	1	4	0	33.41	0	44.75	100
1116	1	0	7	1	7.07	0	5.6	0	37.8	0	57.56	100
1116	1	0	8	1	8.11	1	6.4	0	52.32	4.26	59.03	100
1116	1	0	9	1	9.02	0	7.2	0	52.2	0	62.69	100
1116	1	0	10	1	9.94	1	8	0	50.85	0	64.28	100
1116	1	0	11	1	6.03	1	8.8	0	67.69	0	71.84	100
1116	1	0	12	1	10.18	1	9.6	0	72.08	0	70.74	100
1116	1	0	14	1	14.03	1	11.2	0	71.47	0	76.48	100
1116	1	0	15	1	14.88	0	12	0	72.45	0	80.87	100
1116	1	0	16	1	16.22	1	12.8	0	80.75	0	81.84	100
1116	1	0	18	1	18.05	1	14.4	0	89.53	0	95.25	100
1116	1	0	20	1	20	1	16	0	100	0	92.2	100
1117	1	1	5	1	5	1	4	6.52	42.68	22.3	42.92	65.37
1117	1	1	7	1	7.01	1	5.6	8.5	40	25.84	30.23	40.48
1117	1	1	8	1	10.06	0	6.4	11.49	51.46	46.34	50	40.48
1117	1	1	9	1	10	0	7.2	10.49	50.12	47.56	48.54	56.83
1117	1	1	10	1	12.5	0	8	12.35	56.47	41.83	57.69	50
1117	1	1	11	1	12.99	1	8.8	14.03	55.12	53.54	43.05	59.52
1117	1	1	12	1	14.03	0	9.6	15	65.5	58.91	69.77	75.13
1117	1	1	14	1	16.04	0	11.2	15	64.28	63.67	65.25	68.79
1117	1	1	15	1	16.95	0	12	20.06	70.99	69.89	73.91	70.01
1117	1	1	16	1	17.99	0	12.8	20	76.96	68.06	75.99	77.57
1117	1	1	18	1	20.13	0	14.4	20	77.45	70.01	82.44	100
1117	1	0	5	1	5	1	4	0	50.24	37.92	55.25	60.49
1117	1	0	7	1	9.94	1	5.6	0	54.51	42.8	55.86	60.25
1117	1	0	8	1	11.95	0	6.4	0	54.76	37.31	57.2	60
1117	1	0	9	1	13.05	0	7.2	0	61.35	42.19	59.88	62.69
1117	1	0	10	1	12.74	0	8	0	60.61	49.15	62.08	64.89
1117	1	0	11	1	14.03	0	8.8	0	55	50.24	60.13	66.11
1117	1	0	12	1	15.06	0	9.6	0	69.64	35.11	72.21	73.91
1117	1	0	14	1	17.99	0	11.2	0	73.79	62.93	82.7	75.38
1117	1	0	15	1	17.99	0	12	0	78.67	62.45	85.14	80.26
1117	1	0	16	1	17.38	1	12.8	1.98	81.84	60.61	82.58	84.65
1117	1	0	18	1	21.96	0	14.4	0	81.97	68.18	100	99.78
1117	1	0	20	1	25	0	16	0	90.14	71.84	100	100
1118	1	1	5	1	10	0	4	7.5	7.71	9.9	7.81	9.58
1118	1	1	7	1	10	0	5.6	1.98	23.85	19.48	20.83	20.21
1118	1	1	8	1	3.96	0	6.4	10.23	24.58	9.9	12.4	25
1118	1	1	9	1	12.5	0	7.2	11.74	34.69	29.9	23.23	49.58
1118	1	1	10	1	12.5	0	8	12.5	32.71	19.9	32.81	50
1118	1	1	11	1	12.5	0	8.8	14.77	32.71	30	22.5	24.79
1118	1	1	12	1	12.5	0	9.6	16.25	40.1	33.13	29.06	41.88
1118	1	1	14	1	17.97	0	11.2	21.02	34.79	32.5	44.27	39.58
1118	1	1	15	1	20	0	12	17.5	43.96	41.46	43.85	50
1118	1	1	16	1	20.1	0	12.8	14.92	48.33	27.29	31.04	50
1118	1	1	18	1	23.02	0	14.4	25	48.33	39.38	32.71	61.04
1118	1	1	20	1	23.02	0	16	16.25	85.1	45.1	65	89.58
1118	1	0	5	1	6.98	0	4	0	17.4	5.63	19.48	25.21
1118	1	0	7	1	12.5	0	5.6	0	42.5	15.1	37.29	49.79
1118	1	0	8	1	12.5	0	6.4	1.48	38.02	7.4	51.67	60.42
1118	1	0	9	1	12.5	0	7.2	0	50	10.1	45.1	50
1118	1	0	10	1	20	0	8	0	60.31	1.25	54.9	79.79
1118	1	0	11	1	16.04	0	8.8	0	60	13.23	57.92	50
1118	1	0	12	1	20	0	9.6	10.03	70.21	15.21	62.5	79.58
1118	1	0	14	1	20	0	11.2	9.48	64.69	17.6	75.21	75.21
1118	1	0	15	1	20	0	12	0	70.1	25.21	65.31	80.42
1118	1	0	16	1	20	0	12.8	0	76.04	25.63	72.5	80
1118	1	0	18	1	23.02	0	14.4	0	82.6	2.29	77.71	90.42
1118	1	0	20	1	25	0	16	0	90.21	0	7.6	100
1120	1	1	5	1	5	1	4	5	14.01	14.75	0	27.55
1120	1	1	7	1	7.01	1	5.6	6.46	30.84	26.33	17.79	18.77
1120	1	1	8	1	8.05	1	6.4	8.05	66.72	66.96	29.62	60.25
1120	1	1	9	1	9.02	1	7.2	8.99	40.24	30.97	11.81	45.12
1120	1	1	10	1	10	1	8	10	68.3	63.18	24.01	80.5
1120	1	1	11	1	10.97	1	8.8	11.01	55	42.56	29.99	51.71
1120	1	1	12	1	11.95	1	9.6	11.95	67.33	65.37	25.84	61.47
1120	1	1	14	1	13.96	1	11.2	14.03	65.5	70.13	38.29	50.24
1120	1	1	15	1	15	1	12	15	82.82	77.21	23.28	85.14
1120	1	1	16	1	16.04	1	12.8	16.01	70.25	69.52	41.09	74.4
1120	1	1	18	1	17.99	1	14.4	17.99	79.04	47.56	17.3	60.98
1120	1	1	20	1	20	1	16	20	66.72	81.84	56.94	100
1120	1	0	5	1	5	1	4	4.97	29.87	16.45	7.91	41.95
1120	1	0	7	1	8.05	1	5.6	7.56	31.45	25.84	21.57	84.16
1120	1	0	8	1	9.02	1	6.4	9.02	60	49.76	60.61	46.34
1120	1	0	9	1	10	1	7.2	9.51	65.74	55.86	74.52	73.67
1120	1	0	10	1	10.97	1	8	10.76	58.05	68.18	54.03	49.76
1120	1	0	11	1	3.04	1	8.8	11.46	65.25	50.98	39.02	82.21
1120	1	0	12	1	13.05	1	9.6	12.53	76.23	71.6	59.27	83.67
1120	1	0	14	1	15	1	11.2	15.03	74.52	72.08	69.64	76.84
1120	1	0	15	1	15.98	1	12	15.98	75.74	77.7	61.47	88.07
1120	1	0	16	1	16.95	1	12.8	16.98	86.6	81.6	44.75	81.72
1120	1	0	18	1	17.99	1	14.4	18.48	85.26	92.22	88.8	82.45
1120	1	0	20	1	20	1	16	20.49	89.76	99.04	91.48	100
1121	1	1	5	1	7.99	0	4	0	50	42.07	3.65	50
1121	1	1	7	1	7.44	0	5.6	10.18	50.61	55.61	0	50.73
1121	1	1	8	1	8.11	0	6.4	9.24	51.83	38.65	8.04	50
1121	1	1	9	1	9.08	0	7.2	11.22	48.9	49.88	0	62.2
1121	1	1	10	1	10.36	0	8	11.68	50.24	72.69	0	35.85
1121	1	1	11	1	13.6	0	8.8	12.81	50	66.96	0	49.51
1121	1	1	12	1	12.44	0	9.6	12.47	50	74.28	0	63.91
1121	1	1	14	1	13.96	0	11.2	15.15	48.17	79.4	0	50
1121	1	1	15	1	15.12	0	12	15.79	46.34	83.67	0	50
1121	1	1	16	1	16.59	0	12.8	17.2	50	71.84	0	50
1121	1	1	20	1	20.25	0	16	21.07	29.99	95.86	3.65	29.99
1121	1	0	5	1	7.01	0	4	0	44.51	0	1.82	65.86
1121	1	0	7	1	10.85	0	5.6	0	66.35	0	0	72.21
1121	1	0	8	1	12.5	0	6.4	0.03	69.64	0	21.34	50
1121	1	0	9	1	13.66	0	7.2	0	71.35	0	0	76.11
1121	1	0	10	1	13.05	0	8	0	67.81	0	0	86.85
1121	1	0	11	1	15	0	8.8	0	72.08	0	4.99	83.67
1121	1	0	12	1	15.55	1	9.6	0	78.67	0	26.7	90.75
1121	1	0	14	1	19.09	0	11.2	0	82.45	0.6	40.25	50
1121	1	0	15	1	18.48	0	12	0	82.21	0.6	1.7	87.58
1121	1	0	16	1	20.37	0	12.8	0	89.53	0	5.97	91
1121	1	0	18	1	25	0	14.4	0	92.58	0.84	10.22	50
1121	1	0	20	1	25	0	16	0	98.68	0	52.56	100
1122	1	1	5	1	7.01	0	4	0	21.21	16.08	15.96	62.2
1122	1	1	7	1	8.96	0	5.6	0	22.79	13.27	6.2	68.55
1122	1	1	8	1	10	0	6.4	0	29.62	9.98	10.1	20.23
1122	1	1	9	1	11.04	0	7.2	0	21.82	13.15	12.79	79.28
1122	1	1	10	1	12.01	0	8	0	18.4	20.47	9	76.11
1122	1	1	11	1	13.11	0	8.8	0	26.7	15.47	9.74	80.26
1122	1	1	12	1	13.96	0	9.6	0	20.96	9.74	7.66	33.41
1122	1	1	14	1	15.98	0	11.2	0	26.82	14.86	9.86	78.55
1122	1	1	15	1	17.01	0	12	0	23.65	16.33	7.54	79.28
1122	1	1	16	1	17.99	0	12.8	0	19.5	17.42	14.13	73.67
1122	1	1	18	1	20	0	14.4	0	22.18	10.59	7.3	80.5
1122	1	1	20	1	21.96	0	16	0	27.55	19.86	14.49	83.43
1122	1	0	5	1	7.01	0	4	0	16.69	17.06	9.49	79.28
1122	1	0	7	1	8.9	0	5.6	0	18.64	8.15	8.15	65.13
1122	1	0	8	1	10	0	6.4	0	21.69	15.59	14.01	72.45
