Subject,Condition,Guilt,Anger,Allocation,Pain,Attitude,Guilt_group,Anger_group,Prediction_error,abs_PE,PE_group,PE_group2,abs_PE_group,Pain_Attitude,Guilt_resi,Guilt_noAnger,Anger_resi,Anger_noGuilt,Index,Wager2015_expression
119,6,3,1,5.75,1,2,0,0,-3,3,0,0,0,2,-1.779023817,4.313926613,-1.208083634,2.134545728,78,-3.70E-02
120,1,1,2,0,2,1,0,1,-0.5,0.5,0,0,0,2,-0.416464954,-0.895855371,0.15388781,1.157420457,79,-3.49E-02
120,2,1,1,0.75,2,3,0,0,6.5,6.5,1,1,1,6,-0.683900494,-1.163290911,-0.84611219,0.157420457,80,-1.20E-02
120,3,1,1,0.75,2,2,0,0,3,3,1,1,1,4,-0.683900494,-1.163290911,-0.84611219,0.157420457,81,1.50E-02
120,4,1,3,0,1,1,1,1,-1.5,1.5,0,0,0,1,-0.149029413,-0.62841983,1.15388781,2.157420457,82,3.04E-02
120,5,1,1,1.25,1,3,1,0,5.5,5.5,1,1,1,3,-0.683900494,-1.163290911,-0.84611219,0.157420457,83,-3.32E-02
120,6,1,1,0.25,1,2,1,1,2,2,0,1,0,2,-0.683900494,-1.163290911,-0.84611219,0.157420457,84,-3.43E-02
124,1,5,1,8,2,1,1,0,-1.5,1.5,0,0,0,2,1.385862539,5.005234575,-0.634091856,3.171376057,85,3.90E-02
124,2,3,1,6.75,2,3,0,0,5.5,5.5,1,1,1,6,-0.614137461,3.005234575,-1.318745789,2.486722124,86,7.13E-02
124,3,4,3,5.5,2,2,1,1,2,2,1,1,1,4,1.159022139,4.778394174,1.023581178,4.829049091,87,6.73E-02
124,4,1,6,3,1,1,0,1,-5.5,5.5,0,0,1,1,-0.681238462,2.938133573,2.996600279,6.802068191,88,5.77E-02
124,5,2,1,7.75,1,3,0,0,1.5,1.5,1,1,0,3,-1.614137461,2.005234575,-1.661072755,2.144395158,89,3.33E-02
124,6,3,2,6.5,1,2,1,1,-2,2,0,0,0,2,-0.227557661,3.391814374,-0.318745789,3.486722124,90,2.89E-02
125,1,4,2,6.25,2,1,0,1,-0.5,0.5,0,0,0,2,0.316115843,4.968220163,0.171293728,3.005773497,91,3.15E-02
125,2,5,1,6,2,3,1,0,6.5,6.5,1,1,1,6,0.89951622,5.55162054,-0.570824686,2.263655083,92,4.95E-02
125,3,4,2,6,2,2,0,1,3,3,1,1,1,4,0.316115843,4.968220163,0.171293728,3.005773497,93,1.73E-02
125,4,2,3,5.5,1,1,0,1,-5.5,5.5,0,0,1,1,-1.267284535,3.384819786,0.655530556,3.490010325,94,5.30E-02
125,5,4,1,5.25,1,3,1,0,1.5,1.5,1,1,0,3,-0.10048378,4.55162054,-0.828706272,2.005773497,95,3.42E-03
125,6,4,1,5.5,1,2,1,0,-2,2,0,0,0,2,-0.10048378,4.55162054,-0.828706272,2.005773497,96,2.18E-02
126,1,6,3,6.75,2,1,1,1,-5.5,5.5,0,0,1,2,1.861380769,8.62430232,1.695009904,4.894122605,97,-3.10E-02
126,2,5,1,6.25,2,3,0,0,1.5,1.5,1,1,0,6,-0.094534423,6.668387129,-0.59458326,2.604529441,98,-7.72E-02
126,3,4,1,7,2,2,0,0,-2,2,0,0,0,4,-1.094534423,5.668387129,-0.884176424,2.314936277,99,-8.25E-03
126,4,5,5,5.25,1,1,1,1,-2.5,2.5,0,0,1,1,1.81729596,8.580217512,3.40541674,6.604529441,100,-1.80E-02
126,5,5,1,6.25,1,3,1,0,4.5,4.5,1,1,1,3,-0.094534423,6.668387129,-0.59458326,2.604529441,101,-4.92E-02
